left2010,left2019,left2015,vote2010,vote2015,vote2019,male,age,education,unemployed,ideology,iv_immigration,iv_economy,imm_issue,eco_issue,right2010,right2015,right2019
0,0,0,Conservative,Conservative,Conservative,1,80,4,0,8,1,0.25,0,0,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.25,0,0,1,1,NA
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,8,1,0.5,1,0,1,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,65,5,0,1,0.5,1,0,0,0,0,0
1,1,1,Liberal Democrat,Labour,Labour,1,64,5,0,4,0.75,1,0,0,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,40,5,0,5,0.5,0.5,0,1,0,0,0
1,1,1,Labour,Labour,Labour,1,44,5,1,2,0.25,1,0,1,0,0,0
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,5,1,1,0,0,1,NA,NA
1,1,1,Green Party,Labour,Labour,0,46,5,0,0,1,1,0,1,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,0,NA,NA,NA,3,0.5,0.75,0,1,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,0,1,0.75,0,1,0,0,NA
1,0,1,Labour,Labour,Conservative,1,75,2,0,5,0.75,1,0,1,0,0,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,0.5,0.5,NA,0,1,1,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,46,2,0,7,0.75,0.5,0,1,1,1,1
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,0,64,4,0,5,1,0.75,1,0,0,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,6,0.75,0.5,0,1,1,1,NA
1,NA,1,Plaid Cymru,Labour,NA,1,NA,NA,NA,4,1,0.5,0,1,0,0,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,6,0.75,0.75,0,0,0,1,NA
1,NA,NA,Liberal Democrat,NA,NA,0,57,5,0,5,1,1,0,1,0,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,6,0.75,0.5,0,1,1,1,1
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,NA,0.5,0.5,0,0,0,0,0
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,1,0.5,1,0,0,0,NA,NA
1,1,1,Labour,Labour,Labour,1,72,5,0,4,0.5,0.75,0,1,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,56,3,0,NA,0.75,NA,0,1,1,1,1
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,4,1,1,0,0,0,0,NA
1,1,1,Liberal Democrat,Labour,Liberal Democrat,0,NA,NA,NA,2,1,1,0,0,0,0,0
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,2,0.75,0.75,0,1,0,0,0
1,1,1,Labour,Green Party,Labour,1,43,3,0,3,0.5,0.75,0,1,0,0,0
0,1,0,Conservative,Conservative,Green,0,64,5,0,NA,0.5,0.5,0,0,1,1,0
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,5,0.5,0.5,0,1,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,6,1,0.5,1,0,1,1,NA
0,1,1,United Kingdom Independence Party (UKIP),Labour,Labour,0,62,2,0,5,0.75,1,0,1,1,0,0
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,2,0.5,1,0,0,NA,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.5,NA,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,0,66,3,0,8,1,0.25,0,1,1,1,1
NA,1,1,NA,Liberal Democrat,Green,0,NA,NA,NA,7,1,1,NA,0,NA,0,0
1,1,1,Labour,Labour,Labour,0,66,4,0,2,0.5,1,0,1,0,0,0
1,0,0,Liberal Democrat,Conservative,Conservative,0,62,3,0,5,0.75,1,0,0,0,1,1
1,1,1,Liberal Democrat,Labour,Labour,0,74,3,0,3,1,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,74,1,0,8,1,0,1,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,74,1,0,5,0.75,0.5,1,0,1,1,1
1,1,1,Labour,Labour,Liberal Democrat,1,72,2,0,0,0.5,0.75,0,0,0,0,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,0,0,1,1,1,NA
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,5,0.75,0.75,0,1,0,NA,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,2,0.5,0.75,0,1,0,0,NA
1,1,1,Liberal Democrat,Green Party,Liberal Democrat,0,72,1,0,5,0.5,0.75,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,8,1,0.5,1,0,1,1,1
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,1,64,3,0,6,1,0.5,0,0,0,1,1
1,1,NA,Liberal Democrat,NA,Labour,0,NA,NA,NA,5,0.75,1,0,0,0,NA,0
1,0,1,Liberal Democrat,Labour,Conservative,1,NA,NA,NA,4,1,1,0,1,0,0,1
1,NA,0,Liberal Democrat,Conservative,NA,1,NA,NA,NA,5,0.75,0.5,0,1,0,1,NA
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,3,0.5,1,0,1,0,0,0
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,3,1,0.75,0,1,0,1,NA
1,1,1,Labour,Labour,Labour,1,52,3,1,2,0.5,1,0,0,0,0,0
1,0,1,Liberal Democrat,Labour,Conservative,0,71,1,0,NA,1,0.75,0,0,0,0,1
1,1,1,Liberal Democrat,Green Party,Labour,1,48,5,0,0,0.5,1,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,5,1,NA,0,0,1,1,1
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,10,1,0,0,1,1,1,NA
1,1,0,Liberal Democrat,Conservative,Liberal Democrat,1,72,5,0,4,1,0.5,0,0,0,1,0
0,0,0,Conservative,Conservative,Conservative,1,88,5,0,6,1,0.5,0,1,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.25,0,1,1,1,NA
1,0,0,Green Party,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,5,1,0.5,0,1,0,1,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,0.75,0.75,0,1,0,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Labour,0,54,5,0,5,0.5,0.75,0,0,0,0,0
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,4,1,0.75,1,0,0,1,NA
0,1,0,Conservative,Conservative,Labour,1,51,5,0,7,1,0.5,0,1,1,1,0
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,10,1,0,0,0,1,1,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,7,1,0.75,1,0,1,1,1
NA,1,1,NA,Liberal Democrat,Liberal Democrat,1,48,5,0,4,0.5,0.75,NA,0,NA,0,0
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,1,58,2,0,5,0.5,0.75,1,0,0,0,1
1,NA,0,Liberal Democrat,Conservative,NA,1,NA,NA,NA,7,0.75,0.5,0,1,0,1,NA
0,0,1,Conservative,Liberal Democrat,Conservative,1,NA,NA,NA,6,1,0.25,0,1,1,0,1
0,0,0,Conservative,Conservative,Conservative,0,65,5,0,6,0.75,0.75,NA,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,74,1,0,5,1,0.5,1,0,1,1,1
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,NA,0.5,0.75,0,0,0,0,0
1,0,0,Plaid Cymru,Conservative,Conservative,1,68,2,0,4,1,0.75,0,0,0,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,NA,NA,NA,5,0.5,0.5,0,0,0,0,0
1,1,1,Labour,Labour,Labour,1,61,3,0,2,0,1,0,1,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,1,0.75,0,1,0,0,NA
0,1,0,Conservative,Conservative,Liberal Democrat,0,75,3,0,7,1,0.75,NA,0,1,1,0
1,NA,1,Labour,Labour,NA,0,78,3,0,8,1,0.75,0,0,0,0,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,40,5,0,7,1,0,0,0,1,1,1
0,1,0,Conservative,Conservative,Labour,1,61,5,0,7,0,0,0,1,1,1,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,49,5,0,7,1,0,0,0,1,1,NA
1,1,1,Liberal Democrat,Green Party,Labour,1,58,5,0,1,0.5,1,0,1,0,0,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,7,1,0.5,1,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,0,46,5,0,NA,0.5,0,0,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,1,0.25,0,1,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,73,5,0,8,1,0.25,0,1,1,1,1
0,1,0,Conservative,Conservative,Green,1,70,5,0,4,1,1,1,0,1,1,0
1,NA,NA,Liberal Democrat,NA,NA,1,NA,NA,NA,2,0.5,1,0,1,0,NA,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,70,2,0,7,1,1,0,1,1,1,1
1,0,1,Labour,Labour,Conservative,0,74,1,0,2,0.75,0.75,0,1,0,0,1
1,1,1,Labour,Labour,Labour,0,68,3,0,3,0.75,0.75,0,1,0,0,0
NA,0,NA,NA,NA,Conservative,1,61,2,0,5,1,0.5,1,0,NA,NA,1
1,1,1,Liberal Democrat,Liberal Democrat,Labour,1,NA,NA,NA,1,0.5,0.75,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,7,1,0.5,0,1,1,1,1
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,68,1,0,7,1,0.25,0,0,0,1,1
NA,0,0,NA,Conservative,Conservative,1,65,2,0,6,1,0.25,1,0,NA,1,1
1,1,1,Liberal Democrat,Labour,Labour,0,43,5,0,NA,0.5,1,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,73,3,0,8,0.75,0.5,0,1,1,1,1
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,0,70,1,0,NA,1,0.75,1,0,NA,1,1
1,NA,NA,Labour,NA,NA,1,NA,NA,NA,2,1,1,1,0,0,NA,NA
NA,1,1,NA,Labour,Labour,0,50,2,1,3,0.75,0.75,1,0,NA,0,0
1,0,1,Labour,Labour,Conservative,0,NA,NA,NA,NA,1,0.75,1,0,0,0,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.75,1,0,1,1,NA
1,1,1,Liberal Democrat,Labour,Liberal Democrat,0,NA,NA,NA,3,0.75,0.75,0,1,0,0,0
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,NA,1,0.75,0,1,0,1,1
0,0,0,United Kingdom Independence Party (UKIP),Conservative,Conservative,1,55,2,0,NA,1,0.5,1,0,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,0,56,5,0,2,0.75,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,71,3,0,8,1,0,1,0,1,1,1
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,6,1,0,0,1,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,4,0.75,1,0,1,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,9,1,0.5,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,0.25,0,1,1,1,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,6,1,0.5,1,0,1,1,1
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,5,1,1,0,0,1,NA,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,2,0.5,1,0,1,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,0.75,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,0.5,0,0,1,1,1,NA
1,0,0,Liberal Democrat,Conservative,Conservative,0,77,5,0,NA,0.75,NA,0,1,0,1,1
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,2,0.5,1,0,1,0,0,0
0,NA,1,Conservative,Plaid Cymru,NA,1,NA,NA,NA,7,1,0.25,0,1,1,0,NA
1,1,1,Liberal Democrat,Labour,Liberal Democrat,1,67,2,0,4,1,0.5,1,0,0,0,0
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,2,1,0.75,0,1,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Labour,1,NA,NA,NA,NA,1,0.5,0,1,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,80,5,0,4,0.5,0.5,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,8,1,0.5,1,0,1,1,1
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,0,0.5,1,0,0,0,0,0
1,0,1,Labour,Labour,Conservative,1,84,1,0,4,0.75,0.75,0,1,0,0,1
1,1,1,Labour,Labour,Labour,0,51,5,0,5,1,0.75,0,1,0,0,0
0,0,NA,Conservative,NA,Conservative,1,57,3,0,7,0.75,0.5,NA,0,1,NA,1
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,6,1,0.75,1,0,1,1,1
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,6,1,0.75,1,0,0,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,6,0.75,0.75,0,0,0,0,NA
1,1,1,Labour,Labour,Labour,1,65,2,0,1,0.75,1,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,1,0.25,0,1,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.25,1,0,1,1,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,3,0.75,0.75,0,1,0,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,0.75,0.5,0,1,1,1,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,0.75,0.5,0,0,1,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,4,0.5,0.25,0,1,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,59,5,0,7,1,NA,NA,0,1,1,1
NA,1,NA,NA,NA,Labour,0,74,1,0,1,0,0.75,1,0,NA,NA,0
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,5,0.75,1,0,0,0,0,NA
1,1,1,Labour,Labour,Labour,1,70,2,0,2,1,0.75,0,1,0,0,0
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,0.25,0.75,0,0,0,1,NA
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,NA,0.75,0.75,0,0,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,0,0.5,1,0,1,0,0,NA
1,1,1,Labour,Labour,Labour,1,64,1,0,0,0.75,1,0,0,0,0,0
1,1,1,Liberal Democrat,Labour,Liberal Democrat,1,62,5,0,2,0.5,0.75,0,1,0,0,0
1,1,1,Labour,Labour,Labour,1,50,2,0,2,1,1,0,0,0,0,0
1,1,1,Liberal Democrat,Labour,Labour,1,72,5,0,3,0.75,0.75,0,0,0,0,0
1,1,1,Labour,Labour,Labour,0,75,5,0,2,0.5,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,7,0.75,0,0,1,1,1,1
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,3,0.5,0.5,0,0,0,NA,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,1,0,0,0,1,1,NA
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,79,4,0,10,1,0,1,0,1,1,NA
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,NA,0.75,0.5,0,1,0,1,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,8,1,0.25,0,1,1,1,1
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,8,0.75,0.75,0,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,36,5,0,9,1,0,1,0,1,1,1
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,1,50,3,0,7,1,0.75,0,1,0,0,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,1,0.25,1,0,NA,NA,NA
1,NA,1,Green Party,Green Party,NA,0,NA,NA,NA,2,0,1,0,1,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,4,0.5,1,0,0,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,0,0.5,1,0,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,69,5,0,8,1,0,0,1,1,1,1
1,NA,0,Labour,Conservative,NA,1,NA,NA,NA,5,1,0.5,NA,0,0,1,NA
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,1,0.5,0,1,NA,0,NA
1,1,1,Green Party,Green Party,Labour,0,58,3,0,3,0.5,0.75,0,1,0,0,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,5,1,0.75,1,0,1,1,NA
1,0,0,Liberal Democrat,Conservative,Conservative,0,NA,NA,NA,5,1,0.25,1,0,0,1,1
1,0,1,Liberal Democrat,Labour,Conservative,0,60,4,0,3,0.75,1,1,0,0,0,1
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,7,1,1,1,0,1,1,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,0.75,NA,0,NA,NA,NA
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,4,0.5,0.75,0,1,0,0,0
NA,1,0,NA,Conservative,Labour,1,NA,NA,NA,NA,0.75,0.25,NA,0,NA,1,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,9,1,0.25,0,1,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,2,0.75,NA,0,1,0,0,NA
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,0,0.5,1,0,0,0,0,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,0.5,0,0,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,0,37,5,0,6,0.75,0.75,0,1,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,5,1,0.5,1,0,1,1,NA
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,1,66,5,0,4,1,0.5,0,1,0,0,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.5,0.75,0,0,0,0,NA
1,0,0,Liberal Democrat,Conservative,Conservative,1,NA,NA,NA,8,0.75,0.75,0,1,0,1,1
0,1,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Green,1,64,5,0,8,1,0.5,0,0,1,1,0
0,0,0,Conservative,Conservative,Conservative,1,81,1,0,8,1,0.25,0,0,1,1,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,64,2,0,7,1,0.75,0,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,10,1,0.25,0,1,1,1,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,0.75,1,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,77,3,0,8,1,0.25,0,0,1,1,1
0,NA,0,British National Party (BNP),Conservative,NA,1,NA,NA,NA,8,1,0.25,1,0,1,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,1,1,0,1,0,0,NA
0,0,0,British National Party (BNP),Conservative,Conservative,1,45,5,0,9,1,0.5,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,6,1,0.25,0,0,1,1,NA
0,0,0,British National Party (BNP),United Kingdom Independence Party (UKIP),Conservative,1,65,2,0,8,1,0.25,1,0,1,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,56,3,0,1,1,0.75,0,1,0,0,0
1,1,1,Liberal Democrat,Labour,Labour,0,NA,NA,NA,3,0.5,1,0,1,0,0,0
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,9,1,0.5,0,0,1,NA,NA
1,1,0,Liberal Democrat,Conservative,Liberal Democrat,1,74,4,0,7,1,0.25,1,0,0,1,0
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,NA,1,0.5,1,0,1,1,1
1,1,1,Liberal Democrat,Labour,Liberal Democrat,1,75,3,0,2,0.75,0.75,0,0,0,0,0
NA,NA,NA,NA,NA,NA,1,43,1,0,NA,1,NA,0,1,NA,NA,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,8,1,0.5,0,0,1,1,NA
0,1,1,United Kingdom Independence Party (UKIP),Liberal Democrat,Labour,0,NA,NA,NA,NA,0.5,1,0,0,1,0,0
1,0,1,Labour,Labour,Conservative,1,63,2,0,NA,1,0.75,NA,0,0,0,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,0.75,NA,0,NA,NA,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,0,1,0.75,1,0,0,0,NA
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,0,NA,NA,NA,NA,1,0.5,0,1,0,0,1
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,1,NA,1,0,1,1,NA
1,0,1,Labour,Labour,Conservative,0,NA,NA,NA,NA,0.75,1,0,1,0,0,1
1,NA,NA,Liberal Democrat,NA,NA,1,NA,NA,NA,5,0.5,0.75,0,0,0,NA,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,59,2,1,6,1,0.25,1,0,1,1,1
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,1,0.5,1,0,NA,1,NA
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,4,1,1,1,0,1,NA,NA
1,NA,1,Labour,Labour,NA,1,76,5,0,4,1,1,0,1,0,0,NA
1,0,1,Labour,Labour,Conservative,1,70,1,0,4,1,0.75,0,0,0,0,1
0,0,1,Conservative,Liberal Democrat,Conservative,1,69,1,0,NA,1,1,0,0,1,0,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,NA,NA,NA,6,1,0.5,0,1,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,1,1,0,0,0,0,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,5,0.5,1,0,1,0,0,NA
1,1,1,Plaid Cymru,Plaid Cymru,Labour,1,54,5,0,5,0,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,75,5,0,6,1,1,NA,0,1,1,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,0.5,1,0,0,0,0,NA
NA,NA,NA,NA,NA,NA,1,76,2,0,3,0.75,0.75,0,0,NA,NA,NA
1,1,1,Liberal Democrat,Green Party,Labour,1,67,3,0,1,1,0.75,0,0,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,1,0.75,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,68,5,0,6,0.75,0.5,0,1,1,1,1
1,1,1,Labour,Labour,Labour,1,45,3,0,5,0,0.75,NA,0,0,0,0
1,1,1,Liberal Democrat,Green Party,Liberal Democrat,1,NA,NA,NA,NA,0.5,0.75,0,0,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,75,1,0,7,1,1,0,0,1,1,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,0.75,0,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,43,5,0,6,0.5,0.75,0,1,1,1,1
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,71,1,0,10,1,0.5,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,5,1,0.5,1,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,1,74,5,0,5,1,NA,NA,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,44,5,0,7,1,0.5,0,0,1,1,1
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,0,61,3,0,5,1,1,1,0,0,1,1
NA,NA,1,NA,Green Party,NA,1,NA,NA,NA,NA,1,NA,1,0,NA,0,NA
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,3,1,1,1,0,NA,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,10,1,0.5,0,0,1,1,NA
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,2,1,0.75,0,1,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.75,1,0,0,0,0,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,8,1,0.75,1,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.5,1,0,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,3,0.75,0.75,0,1,0,0,NA
1,0,0,Labour,Conservative,Conservative,0,59,3,0,7,0,0.5,0,0,0,1,1
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,0,64,3,0,4,1,1,0,1,0,1,1
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,6,0.75,0.25,0,1,1,NA,NA
1,0,1,Liberal Democrat,Labour,Conservative,0,53,4,0,3,0.75,0.75,0,1,0,0,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,5,1,NA,NA,0,1,1,NA
0,NA,1,Conservative,Liberal Democrat,NA,0,NA,NA,NA,5,0.5,0.75,0,0,1,0,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,0.75,0.25,0,1,1,1,1
NA,1,1,NA,Labour,Labour,1,51,2,0,3,1,1,NA,0,NA,0,0
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,8,1,0.75,0,1,0,1,1
0,0,0,Conservative,Conservative,Conservative,1,56,3,0,6,0.75,0.75,1,0,1,1,1
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,NA,1,0.75,NA,0,NA,0,NA
0,0,1,Conservative,Labour,Conservative,0,58,2,0,NA,0,1,0,1,1,0,1
1,1,0,Labour,Conservative,Labour,1,NA,NA,NA,7,0.75,0.5,0,1,0,1,0
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.25,1,0,1,1,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,6,0.5,0.75,0,0,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,0.75,0.25,NA,0,1,1,NA
